T,dT,Gimpl,Gexp
-128,0,0,50
-126,0,50,50
-124,0,50,50
-122,0,50,50
-120,0,50,50
-118,0,50,50
-116,0,50,50
-114,0,50,50
-112,0,50,50
-110,0,50,50
-108,0,50,50
-106,0,50,50
-104,0,50,50
-102,0,50,50
-100,0,50,50
-98,0,50,50
-96,0,50,50
-94,0,50,50
-92,0,50,50
-90,0,50,50
-88,0,50,50
-86,0,50,50
-84,0,50,50
-82,0,50,50
-80,0,50,50
-78,0,50,50
-76,0,50,50
-74,0,50,50
-72,0,50,50
-70,0,50,50
-68,0,50,50
-66,0,50,50
-64,0,50,50
-62,0,50,50
-60,0,50,50
-58,0,50,50
-56,0,50,50
-54,0,50,50
-52,0,50,50
-50,0,50,50
-48,0,50,50
-46,0,50,50
-44,0,50,50
-42,0,50,50
-40,0,50,50
-38,0,50,50
-36,0,50,50
-34,0,50,50
-32,0,50,50
-30,0,50,50
-28,0,50,50
-26,0,50,50
-24,0,50,50
-22,0,50,50
-20,0,50,50
-18,0,50,50
-16,0,50,50
-14,0,50,50
-12,0,50,50
-10,0,50,50
-8,0,50,50
-6,0,50,50
-4,0,50,50
-2,0,50,50
0,0,50,50
2,0,50,50
4,0,50,50
6,0,50,50
8,0,50,50
10,0,50,50
12,0,50,50
14,0,50,50
16,0,50,50
18,0,50,50
20,0,50,50
22,0,50,50
24,0,50,50
26,0,50,50
28,0,50,50
30,0,50,50
32,0,50,50
34,0,50,50
36,0,50,50
38,0,50,50
40,0,50,50
42,0,50,50
44,0,50,50
46,0,50,50
48,0,50,50
50,0,50,50
52,0,50,50
54,0,50,50
56,0,50,50
58,0,50,50
60,0,50,50
62,0,50,50
64,0,50,50
66,0,50,50
68,0,50,50
70,0,50,50
72,0,50,50
74,0,50,50
76,0,50,50
78,0,50,50
80,0,50,50
82,0,50,50
84,0,50,50
86,0,50,50
88,0,50,50
90,0,50,50
92,0,50,50
94,0,50,50
96,0,50,50
98,0,50,50
100,0,50,50
102,0,50,50
104,0,50,50
106,0,50,50
108,0,50,50
110,0,50,50
112,0,50,50
114,0,50,50
116,0,50,50
118,0,50,50
120,0,50,50
122,0,50,50
124,0,50,50
126,0,50,50
